Exclure;code OACI;Nom;Lattitude;Longitude;Statut;VFR nuit;Essence
;LFBS;BISCARROSSE PARENTIS;44:22.167N;001:07.833W;aéro ouvert CAP;non;oui
;LFOQ;BLOIS LE BREUIL;47:40.782N;001:12.350E;aéro ouvert CAP;pcl;automat BP
;LFCS;BORDEAUX LEOGNAN SAUCATS;44:42.016N;000:35.733W;aéro ouvert CAP;non;oui
;LFBD;BORDEAUX MERIGNAC;44:49.717N;000:42.916W;aéro ouvert CAP;oui;oui
;LFDY;BORDEAUX YVRAC;44:52.632N;000:28.750W;aéro restreint;non;oui
;LFHS;BOURG CEYZERIAT;46:12.333N;005:17.499E;aéro ouvert CAP;pcl;automat total 
;LFLD;BOURGES;47:03.864N;002:22.733E;aéro ouvert CAP;pcl;automat
;LFRB;BREST BRETAGNE;48:26.834N;004:25.299W;aéro ouvert CAP;oui;oui
;LFEI;BRIARE CHATILLON;47:36.867N;002:46.916E;aéro ouvert CAP;non;oui
;LFFN;BRIENNE LE CHATEAU;48:25.848N;004:28.950E;aéro ouvert CAP;non;non
;LFHR;BRIOUDE BEAUMONT;45:19.498N;003:21.549E;aéro ouvert CAP;non;non
;LFSL;BRIVE SOUILLAC;48:46.801N;005:58.801E;aéro militaire fermé CAP;pcl;oui
;LFFB;BUNO BONNEVAUX;48:21.066N;002:25.533E;aéro restreint;non;non
;LFRK;CAEN CARPIQUET;49:10.401N;000:26.999W;aéro ouvert CAP;pcl;oui
;LFCC;CAHORS LALBENQUE;44:21.032N;001:28.716E;aéro ouvert CAP;oui;automat total 
;LFAC;CALAIS DUNKERQUE;50:57.648N;001:57.083E;aéro ouvert CAP;pcl;oui
;LFKC;CALVI SAINTE CATHERINE;42:31.217N;008:47.584E;aéro ouvert CAP;oui;oui
;LFYG;CAMBRAI NIERGNIES;50:08.550N;003:15.899E;aéro ouvert CAP;limite;oui
;LFMD;CANNES MANDELIEU;43:32.849N;006:57.314E;aéro ouvert CAP;oui;oui
;LFMK;CARCASSONNE SALVAZA;43:12.951N;002:18.516E;aéro ouvert CAP;pcl;oui
;LFNH;CARPENTRAS;44:01.399N;005:05.449E;aéro ouvert CAP;non;oui
;LFIG;CASSAGNES BEGONHES;44:10.767N;002:31.116E;aéro ouvert CAP;limite;non
;LFDQ;CASTELNAU MAGNOAC;43:16.767N;000:31.299E;aéro restreint;non;oui
