Exclure;code OACI;Nom;Lattitude;Longitude;Statut;VFR nuit;Essence
;LFOZ;ORLEANS SAINT DENIS DE L'HOTEL;47:53.849N;002:09.849E;aéro ouvert CAP;pcl;automat bp
;LFEC;OUESSANT;48:27.849N;005:03.733W;aéro ouvert CAP;limite;non
;LFLK;OYONNAX ARBENT;46:16.750N;005:40.049E;aéro ouvert CAP;non;oui
;LFDJ;PAMIERS LES PUJOLS;43:05.433N;001:41.750E;aéro ouvert CAP;oui;automat
;LFGN;PARAY LE MONIAL;46:28.067N;004:08.100E;aéro ouvert CAP;non;non
;LFBP;PAU PYRENEES;43:22.800N;000:25.116W;aéro ouvert CAP;oui;automat bp
;LFBX;PERIGUEUX BASSILLAC;45:11.849N;000:48.850E;aéro ouvert CAP;oui;automat total 
;LFAG;PERONNE SAINT QUENTIN;49:52.132N;003:01.783E;aéro ouvert CAP;non;non
;LFHC;PEROUGES MEXIMIEUX;45:52.184N;005:11.233E;aéro ouvert CAP;non;non
;LFMP;PERPIGNAN RIVESALTES;42:44.449N;002:52.183E;aéro ouvert CAP;pcl;automat
;LFPA;PERSAN BEAUMONT;49:09.951N;002:18.783E;aéro ouvert CAP;limite;oui
;LFHD;PIERRELATTE;44:23.934N;004:43.083E;aéro ouvert CAP;non;oui
;LFFP;PITHIVIERS;48:09.433N;002:11.549E;aéro restreint;non;oui
;LFRP;PLOERMEL LOYAT;48:00.168N;002:22.633W;aéro ouvert CAP;non;non
;LFBI;POITIERS BIARD;46:35.249N;000:18.399E;aéro ouvert CAP;oui;automat 
;LFCP;PONS AVY;45:34.201N;000:30.900W;aéro ouvert CAP;non;oui
;LFSV;PONT SAINT VINCENT;48:35.999N;006:02.984E;aéro restreint;non;non
;LFGO;PONT SUR YONNE;48:17.432N;003:15.049E;aéro ouvert CAP;non;oui
;LFSP;PONTARLIER;46:54.565N;006:19.798E;aéro ouvert CAP;limite;automat total 
;LFED;PONTIVY;48:03.465N;002:55.349W;aéro ouvert CAP;non;non
;LFPT;PONTOISE CORMEILLES EN VEXIN;49:05.798N;002:02.450E;aéro ouvert CAP;limite;oui
;LFEP;POUILLY MACONGE;47:13.284N;004:33.666E;aéro restreint;non;non
;LFKO;PROPRIANO;41:39.681N;008:53.699E;aéro ouvert CAP;non;automat 
;LFTP;PUIMOISSON;43:52.134N;006:09.767E;aéro restreint;non;non
;LFNW;PUIVERT;42:54.683N;002:03.366E;aéro restreint;non;non
;LFEQ;QUIBERON;47:28.932N;003:05.999W;aéro ouvert CAP;non;automat total 
;LFRQ;QUIMPER PLUGUFFAN;47:58.501N;004:10.066W;aéro ouvert CAP;pcl;oui
;LFER;REDON BAINS SUR OUST;47:41.965N;002:02.199W;aéro ouvert CAP;non;non
;LFQA;REIMS PRUNAY;49:12.515N;004:09.399E;aéro ouvert CAP;pcl;automat 
;LFRN;RENNES SAINT JACQUES;48:04.317N;001:43.933W;aéro ouvert CAP;oui;automat 
;LFAP;RETHEL PERTHES;49:28.917N;004:21.883E;aéro restreint;non;non
;LFIR;REVEL MONTGEY;43:28.881N;001:58.799E;aéro restreint;limite;non
;LFIK;RIBERAC-TOURETTE;45:14.417N;000:16.016E;aéro restreint;non;non
;LFIL;RION DES LANDES;43:54.950N;000:56.950W;aéro restreint;non;non
;LFLO;ROANNE RENAISON;46:03.168N;003:59.983E;aéro ouvert CAP;pcl;oui
;LFDN;ROCHEFORT CHARENTE MARITIME;45:53.367N;000:58.950W;aéro ouvert CAP;pcl;oui
;LFCR;RODEZ AVEYRON;44:24.449N;002:28.999E;aéro ouvert CAP;pcl;automat total 
;LFHE;ROMANS SAINT PAUL;45:03.966N;005:06.200E;aéro ouvert CAP;non;oui
;LFYR;ROMORANTIN PRUNIERS;47:19.248N;001:41.333E;aéro ouvert CAP;non;automat total 
;LFOP;ROUEN VALLEE DE SEINE;49:23.451N;001:11.033E;aéro ouvert CAP;pcl;oui
;LFCY;ROYAN MEDIS;45:37.866N;000:58.533W;aéro ouvert CAP;pcl;automat total 
;LFHF;RUOMS;44:26.715N;004:20.033E;aéro restreint;non;non
;LFIF;SAINT AFFRIQUE BELMONT;43:49.449N;002:44.916E;aéro restreint;non;oui
;LFFD;SAINT ANDRE DE L'EURE;48:53.917N;001:15.033E;aéro restreint;non;automat total 
;LFRT;SAINT BRIEUC ARMOR;48:32.249N;002:51.399W;aéro ouvert CAP;pcl;automat total 
;LFHG;SAINT CHAMOND L'HORME;45:29.584N;004:32.133E;aéro ouvert CAP;non;oui
;LFPZ;SAINT CYR L'ECOLE;48:48.681N;002:04.483E;aéro ouvert CAP;non;oui
;LFGY;SAINT DIE REMOMEIX;48:16.033N;007:00.515E;aéro ouvert CAP;non;automat total 
;LFMH;SAINT ETIENNE BOUTHEON;45:32.049N;004:17.833E;aéro ouvert CAP;pcl;automat total 
;LFGP;SAINT FLORENTIN CHEU;47:58.934N;003:46.700E;aéro ouvert CAP;non;oui
;LFHQ;SAINT FLOUR COLTINES;45:04.499N;002:59.550E;aéro ouvert CAP;non;oui
;LFKM;SAINT GALMIER;45:36.432N;004:18.350E;aéro restreint;non;non
;LFIM;SAINT GAUDENS MONTREJEAU;43:06.515N;000:37.216E;aéro ouvert CAP;non;oui
;LFCG;SAINT GIRONS ANTICHAN;43:00.534N;001:06.266E;aéro ouvert CAP;non;oui
;LFIS;SAINT INGLEVERT LES DEUX CAPS;50:52.57N;001:44.10E;aéro ouvert CAP;non;non
;LFIY;SAINT JEAN D'ANGELY SAINT DENIS DU PIN;45:57.983N;000:31.516W;aéro ouvert CAP;non;non
;LFKH;SAINT JEAN D'AVELANNE;45:31.001N;005:40.833E;aéro restreint;non;non
;LFKE;SAINT JEAN EN ROYANS;45:01.666N;005:18.600E;aéro restreint;non;oui
;LFBJ;SAINT JUNIEN;45:54.198N;000:55.199E;aéro ouvert CAP;non;non
;LFNL;SAINT MARTIN DE LONDRES;43:48.050N;003:46.950E;aéro restreint;non;non
;LFRZ;SAINT NAZAIRE MONTOIR;47:18.633N;002:09.399W;aéro ouvert CAP;oui;oui
;LFQN;SAINT OMER WIZERNES;50:43.767N;002:14.150E;aéro ouvert CAP;non;oui
;LFDP;SAINT PIERRE D'OLERON;45:57.550N;001:18.966W;aéro ouvert CAP;non;automat total 
;LFOW;SAINT QUENTIN ROUPY;49:49.017N;003:12.400E;aéro ouvert CAP;limite;oui
;LFLR;SAINT RAMBERT D'ALBON;45:15.366N;004:49.550E;aéro ouvert CAP;non;oui
;LFOS;SAINT VALERY VITTEFLEUR;49:50.165N;000:39.299E;aéro ouvert CAP;non;oui
;LFLN;SAINT YAN;46:24.382N;004:01.266E;aéro ouvert CAP;pcl;oui
;LFDF;SAINTE FOY LA GRANDE;44:51.215N;000:10.600E;aéro ouvert CAP;non;oui
;LFYS;SAINTE LEOCADIE;42:26.799N;002:00.616E;aéro ouvert CAP;non;oui
;LFXB;SAINTES THENAC;45:42.115N;000:38.166W;aéro ouvert CAP;non;oui
;LFHZ;SALLANCHES MONT BLANC;45:57.234N;006:38.348E;aéro restreint;non;non
;LFNE;SALON EYGUIERES;43:39.501N;005:00.816E;aéro ouvert CAP;non;oui
;LFDS;SARLAT DOMME;44:47.599N;001:14.683E;aéro ouvert CAP;non;automat total 
;LFQU;SARRE UNION;48:57.083N;007:04.668E;aéro restreint;non;non
;LFGT;SARREBOURG BUHL;48:43.133N;007:04.767E;aéro ouvert CAP;non;non
;LFGU;SARREGUEMINES NEUNKIRCH;49:07.682N;007:06.500E;aéro ouvert CAP;non;oui
;LFEW;SAULIEU LIERNAIS;47:14.367N;004:15.949E;aéro ouvert CAP;non;oui
;LFOD;SAUMUR SAINT FLORENT;47:15.398N;000:06.816W;aéro ouvert CAP;non;oui
;LFQY;SAVERNE STEINBOURG;48:45.250N;007:25.583E;aéro restreint;non;non
;LFSJ;SEDAN DOUZY;49:39.584N;005:02.266E;aéro ouvert CAP;non;oui
;LFGQ;SEMUR EN AUXOIS;47:28.915N;004:20.649E;aéro ouvert CAP;oui;oui
;LFTM;SERRES LA BATIE MONTSALEON;44:27.498N;005:43.700E;aéro restreint;non;non
;LFFZ;SEZANNE SAINT REMY;48:42.634N;003:45.849E;aéro ouvert CAP;non;oui
;LFNS;SISTERON VAUMEILH;44:17.251N;005:55.817E;aéro restreint;non;non
;LFJS;SOISSONS COURMELLES;49:20.749N;003:17.049E;aéro ouvert CAP;non;oui
;LFKD;SOLLIERES SARDIERES;45:15.383N;006:48.084E;aéro restreint;non;non
;LFDK;SOULAC SUR MER;45:29.701N;001:04.933W;aéro ouvert CAP;non;oui
;LFST;STRASBOURG ENTZHEIM;48:32.434N;007:37.966E;aéro ouvert CAP;oui;oui
;LFGC;STRASBOURG NEUHOF;48:33.266N;007:46.684E;aéro ouvert CAP;non;oui
;LFDT;TARBES LALOUBERE;43:12.965N;000:04.716E;aéro ouvert CAP;non;automat total 
;LFBT;TARBES LOURDES PYRENEES;43:11.132N;000:00.166W;aéro ouvert CAP;oui;automat
;LFCT;THOUARS;46:57.718N;000:09.166W;aéro ouvert CAP;non;oui
;LFET;TIL CHATEL;47:32.848N;005:12.716E;aéro ouvert CAP;non;oui
;LFBO;TOULOUSE BLAGNAC;43:38.098N;001:22.066E;aéro ouvert CAP;oui;non
;LFIT;TOULOUSE BOURG SAINT BERNARD;43:36.733N;001:43.516E;aéro restreint;non;non
;LFBF;TOULOUSE FRANCAZAL;43:32.935N;001:21.433E;aéro militaire fermé CAP;limite;oui
;LFCL;TOULOUSE LASBORDES;43:35.334N;001:29.983E;aéro ouvert CAP;non;automat total 
;LFFX;TOURNUS CUISERY;46:33.767N;004:58.599E;aéro restreint;non;non
;LFJT;TOURS LE LOUROUX;47:09.000N;000:42.766E;aéro restreint;non;non
;LFEN;TOURS SORIGNY;47:16.051N;000:42.066E;aéro ouvert CAP;non;oui
;LFOT;TOURS VAL DE LOIRE;47:25.918N;000:43.383E;aéro ouvert CAP;oui;oui
;LFPN;TOUSSUS LE NOBLE;48:44.982N;002:06.666E;aéro ouvert CAP;pcl;oui
;LFQB;TROYES BARBEREY;48:19.299N;004:01.000E;aéro ouvert CAP;pcl;automat
;LFCU;USSEL THALAMY;45:32.218N;002:25.533E;aéro ouvert CAP;non;oui
;LFNU;UZES;44:05.084N;004:23.716E;aéro restreint;non;non
;LFLU;VALENCE CHABEUIL;44:54.932N;004:58.116E;aéro ouvert CAP;pcl;oui
;LFAV;VALENCIENNES DENAIN;50:19.482N;003:27.933E;aéro ouvert CAP;pcl;oui
;LFNV;VALREAS VISAN;44:20.217N;004:54.483E;aéro ouvert CAP;non;oui
;LFRV;VANNES MEUCON;47:43.151N;002:43.399W;aéro ouvert CAP;pcl;automat total 
;LFAU;VAUVILLE;49:37.449N;001:49.750W;aéro restreint;non;non
;LFIV;VENDAYS MONTALIVET;45:22.832N;001:06.950W;aéro restreint;non;non
;LFGW;VERDUN SOMMEDIEUE;49:07.335N;005:28.250E;aéro ouvert CAP;non;automat total 
;LFQW;VESOUL FROTEY;47:38.366N;006:12.318E;aéro ouvert CAP;pcl;oui
;LFHH;VIENNE REVENTIN;45:27.848N;004:49.766E;aéro ouvert CAP;non;oui
;LFFV;VIERZON MEREAU;47:11.682N;002:03.999E;aéro restreint;non;non
;LFCV;VILLEFRANCHE DE ROUERGUE;44:22.201N;002:01.683E;aéro ouvert CAP;non;oui
;LFHV;VILLEFRANCHE TARARE;45:55.199N;004:38.099E;aéro ouvert CAP;pcl;automat
;LFCW;VILLENEUVE SUR LOT;44:24.016N;000:45.666E;aéro ouvert CAP;non;automat total 
;LFAW;VILLERUPT;49:24.681N;005:53.434E;aéro restreint;non;non
;LFNF;VINON;43:44.265N;005:47.050E;aéro ouvert CAP;non;oui
;LFQS;VITRY EN ARTOIS;50:20.301N;002:59.599E;aéro ouvert CAP;non;non
;LFSK;VITRY LE FRANCOIS VAUCLERC;48:42.201N;004:41.066E;aéro ouvert CAP;non;non
;LFYV;YVETOT-BAONS LE COMTE;49:38.19N;000:43.57E;aéro restreint;non;non
