LFBD | BORDEAUX MERIGNAC | -0.715267 | 44.8286 | aéro ouvert CAP | oui | oui
LFDY | BORDEAUX YVRAC | -0.479167 | 44.8772 | aéro restreint | non | oui
LFHS | BOURG CEYZERIAT | 5.29165 | 46.2056 | aéro ouvert CAP | pcl | automat total 
LFLD | BOURGES | 2.37888 | 47.0644 | aéro ouvert CAP | pcl | automat
LFRB | BREST BRETAGNE | -4.42165 | 48.4472 | aéro ouvert CAP | oui | oui
LFEI | BRIARE CHATILLON | 2.78193 | 47.6144 | aéro ouvert CAP | non | oui
LFFN | BRIENNE LE CHATEAU | 4.4825 | 48.4308 | aéro ouvert CAP | non | non
LFHR | BRIOUDE BEAUMONT | 3.35915 | 45.325 | aéro ouvert CAP | non | non
LFSL | BRIVE SOUILLAC | 5.98002 | 48.78 | aéro militaire fermé CAP | pcl | oui
LFFB | BUNO BONNEVAUX | 2.42555 | 48.3511 | aéro restreint | non | non
LFRK | CAEN CARPIQUET | -0.449983 | 49.1733 | aéro ouvert CAP | pcl | oui
LFCC | CAHORS LALBENQUE | 1.4786 | 44.3505 | aéro ouvert CAP | oui | automat total 
LFAC | CALAIS DUNKERQUE | 1.95138 | 50.9608 | aéro ouvert CAP | pcl | oui
LFKC | CALVI SAINTE CATHERINE | 8.79307 | 42.5203 | aéro ouvert CAP | oui | oui
LFYG | CAMBRAI NIERGNIES | 3.26498 | 50.1425 | aéro ouvert CAP | limite | oui
LFMD | CANNES MANDELIEU | 6.95523 | 43.5475 | aéro ouvert CAP | oui | oui
LFMK | CARCASSONNE SALVAZA | 2.3086 | 43.2159 | aéro ouvert CAP | pcl | oui
LFNH | CARPENTRAS | 5.09082 | 44.0233 | aéro ouvert CAP | non | oui
LFIG | CASSAGNES BEGONHES | 2.5186 | 44.1795 | aéro ouvert CAP | limite | non
LFDQ | CASTELNAU MAGNOAC | 0.52165 | 43.2794 | aéro restreint | non | oui
LFMW | CASTELNAUDARY VILLENEUVE | 1.9211 | 43.3122 | aéro ouvert CAP | non | oui
LFCX | CASTELSARRASIN MOISSAC | 1.12832 | 44.0869 | aéro ouvert CAP | non | automat
LFCK | CASTRES MAZAMET | 2.29055 | 43.555 | aéro ouvert CAP | oui | oui
LFJH | CAZERES PALAMINY | 1.0511 | 43.2022 | aéro restreint | non | non
LFIH | CHALAIS | 0.0169333 | 45.2681 | aéro ouvert CAP | non | non
LFLH | CHALON CHAMPFORGEUIL | 4.81693 | 46.8284 | aéro ouvert CAP | pcl | automat
LFQK | CHALONS ECURY SUR COOLE | 4.35415 | 48.9061 | aéro ouvert CAP | non | oui
LFOK | CHALONS VATRY | 4.2061 | 48.7733 | aéro ouvert CAP | oui | oui
LFLB | CHAMBERY AIX LES BAINS | 5.87997 | 45.6392 | aéro ouvert CAP | oui | automat bp
LFLE | CHAMBERY CHALLES LES EAUX | 5.97692 | 45.5614 | aéro ouvert CAP | non | oui
LFJY | CHAMBLEY | 5.87233 | 49.022 | aéro ouvert CAP | pcl | automat total 
LFGX | CHAMPAGNOLE CROTENAY | 5.82085 | 46.7645 | aéro restreint | non | non
LFQV | CHARLEVILLE MEZIERES | 4.64417 | 49.7858 | aéro ouvert CAP | non | oui
LFOR | CHARTRES METROPOLE | 1.52388 | 48.4589 | aéro ouvert CAP | pcl | oui
LFMX | CHATEAU ARNOUX SAINT AUBAN | 5.99135 | 44.06 | aéro ouvert CAP | non | automat bp
LFFH | CHATEAU THIERRY BELLEAU | 3.35693 | 49.0672 | aéro ouvert CAP | non | non
LFTQ | CHATEAUBRIANT POUANCE | -1.18805 | 47.7405 | aéro ouvert CAP | non | non
LFOC | CHATEAUDUN | 1.37943 | 48.0577 | aéro ouvert CAP | non | non
LFFU | CHATEAUNEUF SUR CHER | 2.37693 | 46.8711 | aéro ouvert CAP | non | oui
LFLX | CHATEAUROUX DEOLS | 1.7211 | 46.8603 | aéro ouvert CAP | oui | oui
LFEJ | CHATEAUROUX VILLERS | 1.6211 | 46.8419 | aéro ouvert CAP | non | oui
LFCA | CHATELLERAULT TARGE | 0.551933 | 46.7814 | aéro ouvert CAP | limite | oui
LFQH | CHATILLON SUR SEINE | 4.58055 | 47.8464 | aéro ouvert CAP | non | oui
LFJA | CHAUMONT SEMOUTIERS | 5.04998 | 48.0917 | aéro réservé administration | non | non
LFDW | CHAUVIGNY | 0.642483 | 46.5836 | aéro ouvert CAP | oui | oui
LFPX | CHAVENAY VILLEPREUX | 1.98222 | 48.8436 | aéro ouvert CAP | non | automat bp
LFPH | CHELLES LE PIN | 2.6075 | 48.8978 | aéro ouvert CAP | non | oui
LFRC | CHERBOURG MAUPERTUS | -1.47527 | 49.6508 | aéro ouvert CAP | pcl | automat
LFOU | CHOLET LE PONTREAU | -0.877217 | 47.0819 | aéro ouvert CAP | pcl | oui
LFJC | CLAMECY | 3.5086 | 47.4383 | aéro ouvert CAP | non | non
LFLC | CLERMONT FERRAND AUVERGNE | 3.16248 | 45.7859 | aéro ouvert CAP | oui | oui
LFBG | COGNAC CHATEAUBERNARD | -0.317483 | 45.6583 | aéro réservé administration | oui | oui
LFGA | COLMAR HOUSSEN | 7.35918 | 48.1103 | aéro ouvert CAP | pcl | oui
LFAD | COMPIEGNE MARGNY | 2.8061 | 49.4344 | aéro ouvert CAP | limite | oui
LFID | CONDOM VALENCE SUR BAISE | 0.387217 | 43.9103 | aéro ouvert CAP | non | oui
LFKT | CORTE | 9.1939 | 42.2908 | aéro ouvert CAP | non | non
LFGH | COSNE SUR LOIRE | 2.91943 | 47.3606 | aéro ouvert CAP | non | oui
LFDV | COUHE VERAC | 0.19055 | 46.2728 | aéro ouvert CAP | limite | oui
LFPK | COULOMMIERS VOISINS | 3.01527 | 48.8378 | aéro ouvert CAP | non | oui
LFTF | CUERS PIERREFEU | 6.1272 | 43.2475 | aéro ouvert CAP | non | oui
LFBY | DAX SEYRESSE | -1.06888 | 43.6892 | aéro restreint | oui | oui
LFRG | DEAUVILLE NORMANDIE | 0.16 | 49.3633 | aéro ouvert CAP | oui | oui
LFAB | DIEPPE SAINT AUBIN | 1.08527 | 49.8825 | aéro ouvert CAP | limite | oui
LFGI | DIJON DAROIS | 4.94805 | 47.3869 | aéro ouvert CAP | non | oui
LFSD | DIJON-LONGVIC | 5.09498 | 47.2658 | aéro ouvert CAP | pcl | oui
LFEB | DINAN TRELIVAN | -2.10138 | 48.4444 | aéro ouvert CAP | non | oui
LFRD | DINARD PLEURTUIT SAINT MALO | -2.07998 | 48.5878 | aéro ouvert CAP | pcl | oui
LFGJ | DOLE TAVAUX | 5.43498 | 47.0427 | aéro ouvert CAP | oui | oui
LFGR | DONCOURT LES CONFLANS | 5.9328 | 49.1528 | aéro ouvert CAP | non | oui
LFON | DREUX VERNOUILLET | 1.36277 | 48.7067 | aéro ouvert CAP | non | non
LFAK | DUNKERQUE LES MOERES | 2.55027 | 51.0406 | aéro restreint | limite | oui
LFDE | EGLETONS | 2.06888 | 45.4214 | aéro ouvert CAP | non | oui
LFFE | ENGHIEN MOISSELLES | 2.35305 | 49.0464 | aéro restreint | non | oui
LFSW | EPERNAY PLIVOT | 4.08693 | 49.0052 | aéro ouvert CAP | limite | automat total 
LFSE | EPINAL DOGNEVILLE | 6.44915 | 48.2119 | aéro ouvert CAP | non | non
LFSG | EPINAL MIRECOURT | 6.06663 | 48.325 | aéro ouvert CAP | oui | automat
LFOX | ETAMPES MONDESIR | 2.07527 | 48.3819 | aéro ouvert CAP | non | oui
LFFY | ETREPAGNY | 1.6386 | 49.3061 | aéro restreint | non | oui
LFAE | EU MERS LE TREPORT | 1.42665 | 50.0692 | aéro restreint | non | non
LFAS | FALAISE MONTS D'ERAINES | -0.144717 | 48.9272 | aéro restreint | non | oui
LFMF | FAYENCE | 6.7028 | 43.6061 | aéro ouvert CAP | non | non
LFLZ | FEURS CHAMBEON | 4.2011 | 45.7036 | aéro ouvert CAP | non | non
LFKF | FIGARI SUD CORSE | 9.09667 | 41.5022 | aéro ouvert CAP | oui | oui
LFCF | FIGEAC LIVERNON | 1.78915 | 44.6733 | aéro ouvert CAP | non | oui
LFOG | FLERS SAINT PAUL | -0.589433 | 48.7525 | aéro ouvert CAP | non | oui
LFNO | FLORAC SAINTE ENIMIE | 3.46665 | 44.2864 | aéro restreint | non | non
LFFK | FONTENAY LE COMTE | -0.792767 | 46.4414 | aéro ouvert CAP | non | oui
LFPQ | FONTENAY TRESIGNY | 2.90443 | 48.7072 | aéro ouvert CAP | limite | automat total 
LFDX | FUMEL MONTAYRAL | 1.00777 | 44.4636 | aéro ouvert CAP | limite | oui
LFDG | GAILLAC LISLE SUR TARN | 1.87555 | 43.8839 | aéro ouvert CAP | limite | non
LFNA | GAP TALLARD | 6.03777 | 44.455 | aéro ouvert CAP | non | oui
LFKG | GHISONACCIA ALZITONE | 9.40195 | 42.055 | aéro restreint | non | non
LFRF | GRANVILLE-MONT SAINT MICHEL | -1.56388 | 48.8828 | aéro ouvert CAP | pcl | automat total 
LFCQ | GRAULHET MONTDRAGON | 2.00888 | 43.77 | aéro ouvert CAP | non | automat total 
LFEV | GRAY SAINT ADRIEN | 5.62277 | 47.4333 | aéro ouvert CAP | pcl | automat total 
LFLS | GRENOBLE ISERE | 5.33277 | 45.3631 | aéro ouvert CAP | pcl | oui
LFLG | GRENOBLE LE VERSOUD | 5.84972 | 45.2191 | aéro ouvert CAP | non | automat bp
LFCE | GUERET SAINT LAURENT | 1.95305 | 46.1755 | aéro ouvert CAP | non | oui
LFES | GUISCRIFF SCAER | -3.66277 | 48.0547 | aéro ouvert CAP | limite | automat total 
LFSH | HAGUENAU | 7.8203 | 48.7978 | aéro ouvert CAP | non | oui
LFTH | HYERES LE PALYVESTRE | 6.14612 | 43.0972 | aéro réservé administration | oui | non
LFEY | ILE D'YEU | -2.3911 | 46.7186 | aéro ouvert CAP | pcl | non
LFHA | ISSOIRE LE BROC | 3.26748 | 45.515 | aéro ouvert CAP | non | oui
LFEK | ISSOUDUN LE FAY | 2.04138 | 46.8886 | aéro ouvert CAP | non | non
LFMI | ISTRES LE TUBE | 4.92415 | 43.5225 | aéro ouvert CAP | oui | oui
LFIX | ITXASSOU | -1.42222 | 43.3375 | aéro restreint | non | non
LFGK | JOIGNY | 3.39193 | 47.995 | aéro ouvert CAP | non | oui
LFFJ | JOINVILLE MUSSEY | 5.145 | 48.3861 | aéro restreint | non | non
LFCJ | JONZAC NEULLES | -0.421383 | 45.4841 | aéro ouvert CAP | pcl | oui
LFQX | JUVANCOURT | 4.82082 | 48.115 | aéro restreint | non | non
LFOL | L'AIGLE SAINT MICHEL | 0.65915 | 48.7597 | aéro ouvert CAP | non | non
LFHU | L'ALPE D'HUEZ | 6.08468 | 45.0883 | Altiport | non | oui
LFRE | LA BAULE ESCOUBLAC | -2.34638 | 47.2894 | aéro ouvert CAP | non | oui
LFFQ | LA FERTE ALAIS | 2.34333 | 48.4978 | aéro restreint | non | automat bp
LFFG | LA FERTE GAUCHER | 3.27665 | 48.7558 | aéro restreint | non | non
LFAL | LA FLECHE THOREE LES PINS | 0.00331667 | 47.6942 | aéro restreint | non | oui
LFTN | LA GRAND'COMBE | 4.01222 | 44.2444 | aéro restreint | non | non
LFDR | LA REOLE FLOUDES | -0.0561 | 44.568 | aéro ouvert CAP | non | non
LFRI | LA ROCHE SUR YON LES AJONCS | -1.38165 | 46.7025 | aéro ouvert CAP | pcl | oui
LFBH | LA ROCHELLE ILE DE RE | -1.19527 | 46.1791 | aéro ouvert CAP | oui | oui
LFKP | LA TOUR DU PIN CESSIEU | 5.38472 | 45.5572 | aéro restreint | non | non
LFHL | LANGOGNE LESPERON | 3.88832 | 44.7064 | aéro ouvert CAP | non | non
LFSU | LANGRES ROLAMPONT | 5.295 | 47.9656 | aéro ouvert CAP | non | non
LFRO | LANNION | -3.47443 | 48.755 | aéro ouvert CAP | pcl | oui
LFAF | LAON CHAMBRY | 3.63165 | 49.5958 | aéro ouvert CAP | non | automat total 
LFOV | LAVAL ENTRAMMES | -0.742767 | 48.0322 | aéro ouvert CAP | limite | automat total 
LFEL | LE BLANC | 1.0875 | 46.6208 | aéro ouvert CAP | non | oui
LFMQ | LE CASTELLET | 5.78722 | 43.2533 | aéro ouvert CAP | oui | oui
LFOH | LE HAVRE OCTEVILLE | 0.08805 | 49.5339 | aéro ouvert CAP | pcl | oui
LFOY | LE HAVRE SAINT ROMAIN | 0.359717 | 49.5439 | aéro ouvert CAP | non | non
LFMC | LE LUC LE CANNET | 6.38692 | 43.3847 | aéro ouvert CAP | oui | non
LFRM | LE MANS ARNAGE | 0.201667 | 47.9486 | aéro ouvert CAP | pcl | automat total 
LFNZ | LE MAZET DE ROMANIN | 4.8936 | 43.7689 | aéro restreint | non | oui
LFPP | LE PLESSIS BELLEVILLE | 2.73805 | 49.11 | aéro ouvert CAP | limite | automat bp
LFHP | LE PUY LOUDES | 3.76472 | 45.0805 | aéro ouvert CAP | pcl | automat
LFAT | LE TOUQUET COTE D'OPALE | 1.62748 | 50.5147 | aéro ouvert CAP | pcl | automat total 
LFQL | LENS BENIFONTAINE | 2.82193 | 50.4672 | aéro ouvert CAP | non | oui
LFXU | LES MUREAUX | 1.94277 | 48.9983 | aéro ouvert CAP | non | oui
LFOO | LES SABLES D'OLONNE TALMONT | -1.72277 | 46.477 | aéro ouvert CAP | non | automat total 
LFDU | LESPARRE SAINT LAURENT MEDOC | -0.882217 | 45.1978 | aéro ouvert CAP | oui | oui
LFOM | LESSAY | -1.50667 | 49.203 | aéro ouvert CAP | non | automat
LFMZ | LEZIGNAN CORBIERES | 2.7336 | 43.1758 | aéro ouvert CAP | non | oui
LFDI | LIBOURNE ARTIGUES DE LUSSAC | -0.1336 | 44.985 | aéro ouvert CAP | pcl | oui
LFQQ | LILLE LESQUIN | 3.08693 | 50.5633 | aéro ouvert CAP | oui | oui
LFQO | LILLE MARCQ EN BAROEUL | 3.07667 | 50.688 | aéro ouvert CAP | non | automat total 
LFBL | LIMOGES BELLEGARDE | 1.18027 | 45.8608 | aéro ouvert CAP | oui | oui
LFPL | LOGNES EMERAINVILLE | 2.62388 | 48.8231 | aéro ouvert CAP | non | oui
LFGS | LONGUYON VILLETTE | 5.57277 | 49.4844 | aéro ouvert CAP | non | non
LFGL | LONS LE SAUNIER COURLAOUX | 5.4711 | 46.6761 | aéro ouvert CAP | non | oui
LFRH | LORIENT LANN BIHOUE | -3.43998 | 47.7606 | aéro militaire ouvert CAP | oui | non
LFDL | LOUDUN | 0.101383 | 47.0372 | aéro ouvert CAP | non | automat total 
LFQC | LUNEVILLE CROISMARE | 6.54333 | 48.5947 | aéro ouvert CAP | non | oui
LFJU | LURCY LEVIS | 2.9461 | 46.7128 | aéro restreint | non | non
LFKL | LYON BRINDAS | 4.69777 | 45.7116 | aéro restreint | non | oui
LFLY | LYON BRON | 4.93888 | 45.7294 | aéro ouvert CAP | pcl | oui
LFHJ | LYON CORBAS | 4.9136 | 45.6542 | aéro restreint | non | non
LFLL | LYON SAINT EXUPERY | 5.0811 | 45.7255 | aéro ouvert CAP | oui | non
LFLM | MACON CHARNAY | 4.79583 | 46.2958 | aéro ouvert CAP | non | oui
